title,link,description,date,source,content,summary
Premature celebration from South Korean skater costs team gold medal and military service exemption - CNN,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8wMy9zcG9ydC9qdW5nLWNoZW9sd29uLXNvdXRoLWtvcmVhLXNrYXRpbmctZWFybHktY2VsZWJyYXRpb24tc3B0LWludGwvaW5kZXguaHRtbNIBcGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMTAvMDMvc3BvcnQvanVuZy1jaGVvbHdvbi1zb3V0aC1rb3JlYS1za2F0aW5nLWVhcmx5LWNlbGVicmF0aW9uLXNwdC1pbnRsL2luZGV4Lmh0bWw?oc=5," href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8xMC8wMy9zcG9ydC9qdW5nLWNoZW9sd29uLXNvdXRoLWtvcmVhLXNrYXRpbmctZWFybHktY2VsZWJyYXRpb24tc3B0LWludGwvaW5kZXguaHRtbNIBcGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMTAvMDMvc3BvcnQvanVuZy1jaGVvbHdvbi1zb3V0aC1rb3JlYS1za2F0aW5nLWVhcmx5LWNlbGVicmF0aW9uLXNwdC1pbnRsL2luZGV4Lmh0bWw?oc=5"" target=""_blank"">Premature celebration from South Korean skater costs team gold medal and military service exemption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNN</font",2023-10-03 11:32:00+00:00,CNN,"South Korea's Jung Cheol-won prematurely celebrates as he crosses the finish line at the Asian Games men's speed skating 3,000m relay final while Taiwan's Huang Yu-Lin stretches forward to win the race. Yonhap/Reuters CNN — Winning a gold medal is a big deal. As a result, athletes want to be able to celebrate and soak in their moment at the top of their sport . However, for South Korean skater Jung Cheol-won, the decision to celebrate a fraction of a second too early cost him and his teammates a spot atop the podium – and an exemption from mandatory military service. Jung was part of the three-man South Korean team taking part in the men’s 3,000m speed skating relay final at the Huangzhou Asian Games in China on Monday. The 27-year-old, who was skating the final leg of the race, approached the finish line just ahead of Taiwan’s Huang Yu-Lin. Thinking that he had the gold medal sealed, Jung chose to raise his hands aloft and not reach for the finish line. Unbeknownst to him, Huang stretched a long, left leg forward and was just able to pip Jung to first place. As a result, Taiwan finished with a time of 4:05.692 for the gold medal, with South Korea crossing the line in second place with a time of 4:05.702, meaning that Taiwan won the gold by an agonizing 0.01 seconds. India finished in third with a time of 4:10.128. “I thought it was such a shame that I was just a little bit short, and then the results came up on the screen showing that we had won by one hundredth of a second, and it was just a miracle,” Huang said after the race, according to Reuters. After the race, Jung apologized for how he finished his final lap. “I made a rather big mistake,” Jung said, per Reuters . “I didn’t come at full speed to the finish line. I let my guard down too early. I am very sorry.” Jung prematurely celebrates after crossing the finish line in the men's final of the speed skating 3,000m relay race. Wang Zhao/AFP/Getty Images The result was made even worse for Jung and one of his teammates, Choi In-ho, as by not winning the gold medal, it meant that the pair missed out on an exemption from having to take part in South Korea’s military service. Military service is compulsory for men in South Korea, with almost all able-bodied persons required to serve in the army for 18 months by the age of 28. The mandatory duty can be waived for some athletes, in particular, those who win an Olympic medal or a gold medal in the Asian Games. However, South Korean law allows men who are deemed to excel in sports, popular culture, art or higher education to defer their service until the age of 30. The stipulation means that Choi has another opportunity to earn an exemption at the 2026 Asian Games in Aichi and Nagoya, Japan.","Jung Cheol-won was part of the South Korean team taking part in the men’s 3,000m speed skating relay final at the Huangzhou Asian Games in China on Monday. Jung was skating the final leg of the race and approached the finish line just ahead of Taiwan's Huang Yu-Lin. Thinking that he had the gold medal sealed, Jung chose to raise his hands aloft. Unbeknownst to him, Huang stretched a long, left leg forward and was just able to pip Jung to first place."
China welcomes Taiwanese athletes at the Asian Games but they still can't compete under their flag - The Associated Press,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3RhaXdhbi1jaGluYS1hc2lhbi1nYW1lcy1mYzI2NzYzZTQyMTQ5OGFmMzczYmE4MzgyZjdhMzBjZNIBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3RhaXdhbi1jaGluYS1hc2lhbi1nYW1lcy1mYzI2NzYzZTQyMTQ5OGFmMzczYmE4MzgyZjdhMzBjZNIBAA?oc=5"" target=""_blank"">China welcomes Taiwanese athletes at the Asian Games but they still can't compete under their flag</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font",2023-10-03 10:49:00+00:00,The Associated Press,,No Content
Asian Games 2023: Lee Zii Jia ekes past Ng Ka Long Angus in men's singles 1st round - Olympics,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1iYWRtaW50b24tbGVlLXplZS1qaWEtZmlyc3Qtcm91bmTSAQA?oc=5,"l><li><a href=""https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1iYWRtaW50b24tbGVlLXplZS1qaWEtZmlyc3Qtcm91bmTSAQA?oc=5"" target=""_blank"">Asian Games 2023: Lee Zii Jia ekes past Ng Ka Long Angus in men's singles 1st round</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Olympics</font></li><li><a href=""https://news.google.com/rss/articles/CBMirQFodHRwczovL3Nwb3J0c3Rhci50aGVoaW5kdS5jb20vYXNpYW4tZ2FtZXMvYXRobGV0aWNzLWxpdmUtdXBkYXRlcy1mcm9tLWFzaWFuLWdhbWVzLTIwMjMtb2N0b2Jlci0yLW1lZGFsLXRhbGx5LXN0cmVhbWluZy1oYW5nemhvdS0yMDIyLWhpZ2hsaWdodHMtc2NoZWR1bGUvYXJ0aWNsZTY3MzcwMTY2LmVjZdIBAA?oc=5"" target=""_blank"">Asian Games 2023, Athletics Highlights: Ancy Sojan wins long jump silver; 4x400m mixed relay bronze upgraded to ...</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sportstar</font></li><li><a href=""https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vc3BvcnRzLmlucXVpcmVyLm5ldC81MzIxNzEvc2VlaW5nLWFzaWFkLWZpZWxkLWdpdmVzLXBoLXRhcmdldC10by1oaXQtaW4tb2x5bXBpY3PSAQA?oc=5"" target=""_blank"">Seeing Asian Games field gives PH lifters target to hit in Olympics</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Inquirer.net</font></li></ol",2023-10-02 05:17:00+00:00,Olympics,,No Content
Asian Games: China censors 'Tiananmen' image of athletes hugging - BBC,https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLWNoaW5hLTY3MDAyNTgz0gE2aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtY2hpbmEtNjcwMDI1ODMuYW1w?oc=5," href=""https://news.google.com/rss/articles/CBMiMmh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLWNoaW5hLTY3MDAyNTgz0gE2aHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtY2hpbmEtNjcwMDI1ODMuYW1w?oc=5"" target=""_blank"">Asian Games: China censors 'Tiananmen' image of athletes hugging</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BBC</font",2023-10-04 04:52:50+00:00,BBC,"Asian Games: China censors 'Tiananmen' image of athletes hugging Published 1 hour ago Share close panel Share page Copy link About sharing Related Topics Tiananmen Square protests of 1989 Image source, Reuters Image caption, The race numbers for Lin Yuwei and Wu Yanni form '64' By Derek Cai BBC News, Singapore A photo of two Chinese female athletes that made an inadvertent reference to the Tiananmen Square massacre has been censored on Chinese social media. The race numbers for Lin Yuwei and Wu Yanni form '64' - a common allusion to the incident which happened on 4 June. Discussions of the incident remain taboo in China, with authorities routinely scrubbing any mention of the topic from the internet. In 1989, troops shot dead hundreds of pro-democracy protesters in Beijing. It remains unclear how many people actually died that day, but human rights groups' estimates range from several hundred to several thousand killed. Tiananmen Square: What happened in the protests of 1989? China's Lipstick King sparks Tiananmen questions The athletes had embraced each other after a 100m hurdles race at the Asian Games in which Ms Lin won gold. She was wearing her lane number 6 next to Ms Wu's lane number 4 in the photo. Users had posted on Weibo, one of China's biggest social media platforms, congratulating Ms Lin.  However, posts which included the photo were replaced with grey squares. However, the photo does not appear to have been completely scrubbed off the internet, with some Chinese news articles still showing a photo of the two athletes. China has won nearly 300 medals so far in the Asian Games, which are currently taking place in the Chinese city of Hangzhou. It is due to go on until 8 October. Image caption, Photos of the athletes hugging have been scrubbed from Weibo Discussion of the events that took place in Tiananmen Square is highly sensitive in China - with generations of younger Chinese growing up with little to no knowledge about the Tiananmen Square massacre. Posts relating to the massacres are regularly removed from the internet, tightly controlled by the government. Last year, a popular Chinese influencer's livestream, which took place on the eve of the 33rd anniversary of the massacre, ended abruptly  after he showed his audience a vanilla log cake which resembled a tank - a reference to a iconic image of one so-called Tank Man, which shows a civilian with shopping bags standing in front of a queue of tanks, attempting to block them. Related Topics Tiananmen Square protests of 1989 More on this story India-China border row flares over athlete visas Published 22 September China's Lipstick King sparks Tiananmen questions Published 7 June 2022 Tiananmen Square: What happened in the protests of 1989? Published 23 December 2021","The race numbers for Lin Yuwei and Wu Yanni form '64' Discussions of the incident remain taboo in China. In 1989, troops shot dead hundreds of pro-democracy protesters in Beijing."
Our best photos from the Asian Games - Reuters,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3BpY3R1cmVzL291ci1iZXN0LXBob3Rvcy1hc2lhbi1nYW1lcy0yMDIzLTEwLTAyL9IBAA?oc=5," href=""https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3BpY3R1cmVzL291ci1iZXN0LXBob3Rvcy1hc2lhbi1nYW1lcy0yMDIzLTEwLTAyL9IBAA?oc=5"" target=""_blank"">Our best photos from the Asian Games</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Reuters</font",2023-10-03 15:35:00+00:00,Reuters,,No Content
Archer Dhiraj's blunder leaves India stunned at Asian Games - Rediff.com,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJlZGlmZi5jb20vc3BvcnRzL3JlcG9ydC9hcmNoZXItZGhpcmFqcy1ibHVuZGVyLWxlYXZlcy1pbmRpYS1zdHVubmVkLWF0LWFzaWFuLWdhbWVzLzIwMjMxMDAzLmh0bdIBbmh0dHBzOi8vbS5yZWRpZmYuY29tL2FtcC9zcG9ydHMvcmVwb3J0L2FyY2hlci1kaGlyYWpzLWJsdW5kZXItbGVhdmVzLWluZGlhLXN0dW5uZWQtYXQtYXNpYW4tZ2FtZXMvMjAyMzEwMDMuaHRt?oc=5," href=""https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJlZGlmZi5jb20vc3BvcnRzL3JlcG9ydC9hcmNoZXItZGhpcmFqcy1ibHVuZGVyLWxlYXZlcy1pbmRpYS1zdHVubmVkLWF0LWFzaWFuLWdhbWVzLzIwMjMxMDAzLmh0bdIBbmh0dHBzOi8vbS5yZWRpZmYuY29tL2FtcC9zcG9ydHMvcmVwb3J0L2FyY2hlci1kaGlyYWpzLWJsdW5kZXItbGVhdmVzLWluZGlhLXN0dW5uZWQtYXQtYXNpYW4tZ2FtZXMvMjAyMzEwMDMuaHRt?oc=5"" target=""_blank"">Archer Dhiraj's blunder leaves India stunned at Asian Games</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rediff.com</font",2023-10-03 16:35:29+00:00,Rediff.com,,No Content
"Asian Games 2023 kabaddi: Results, scores, points table and medal winners - Olympics",https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1rYWJhZGRpLXJlc3VsdC1zY29yZXMtbWVkYWwtd2lubmVycy1tZW4td29tZW7SAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3MvYXNpYW4tZ2FtZXMtMjAyMy1rYWJhZGRpLXJlc3VsdC1zY29yZXMtbWVkYWwtd2lubmVycy1tZW4td29tZW7SAQA?oc=5"" target=""_blank"">Asian Games 2023 kabaddi: Results, scores, points table and medal winners</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Olympics</font",2023-10-03 10:59:00+00:00,Olympics,,No Content
Chinese teams dominate in esports matches at Asian Games despite Beijing’s harsh policies - South China Morning Post,https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5zY21wLmNvbS90ZWNoL2JpZy10ZWNoL2FydGljbGUvMzIzNjY2OC9hc2lhbi1nYW1lcy0yMDIzLWNoaW5hLWJhZ3Mtb3Zlci1oYWxmLWdvbGQtbWVkYWxzLWVzcG9ydHMtZXZlbnRzLWV2ZW4tYmVpamluZy1tYWludGFpbnMtaXRzLWhhcnNo0gGUAWh0dHBzOi8vYW1wLnNjbXAuY29tL3RlY2gvYmlnLXRlY2gvYXJ0aWNsZS8zMjM2NjY4L2FzaWFuLWdhbWVzLTIwMjMtY2hpbmEtYmFncy1vdmVyLWhhbGYtZ29sZC1tZWRhbHMtZXNwb3J0cy1ldmVudHMtZXZlbi1iZWlqaW5nLW1haW50YWlucy1pdHMtaGFyc2g?oc=5," href=""https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5zY21wLmNvbS90ZWNoL2JpZy10ZWNoL2FydGljbGUvMzIzNjY2OC9hc2lhbi1nYW1lcy0yMDIzLWNoaW5hLWJhZ3Mtb3Zlci1oYWxmLWdvbGQtbWVkYWxzLWVzcG9ydHMtZXZlbnRzLWV2ZW4tYmVpamluZy1tYWludGFpbnMtaXRzLWhhcnNo0gGUAWh0dHBzOi8vYW1wLnNjbXAuY29tL3RlY2gvYmlnLXRlY2gvYXJ0aWNsZS8zMjM2NjY4L2FzaWFuLWdhbWVzLTIwMjMtY2hpbmEtYmFncy1vdmVyLWhhbGYtZ29sZC1tZWRhbHMtZXNwb3J0cy1ldmVudHMtZXZlbi1iZWlqaW5nLW1haW50YWlucy1pdHMtaGFyc2g?oc=5"" target=""_blank"">Chinese teams dominate in esports matches at Asian Games despite Beijing’s harsh policies</a>&nbsp;&nbsp;<font color=""#6f6f6f"">South China Morning Post</font",2023-10-03 11:03:17+00:00,South China Morning Post,"Advertisement Advertisement Video gaming + FOLLOW Get more with my NEWS A personalised news feed of stories that matter to you Learn more Fans watch the Arena of Valor Asian Games final at the venue in Hangzhou on September 26, 2023. Photo: Reuters Tech Big Tech Asian Games 2023: China bags over half the gold medals at esports events even as Beijing maintains its harsh policies over video gaming Esports turned out to be one of the most popular Asian Games events – and the most widely discussed topic on Chinese social media over the past few weeks Despite official restrictions, Hangzhou is betting on video game competitions to generate excitement and boost its economy amid slower economic growth Video gaming + FOLLOW Ann Cao in Hangzhou + FOLLOW Published: 7:03pm, 3 Oct, 2023 Why you can trust SCMP China won four esports gold medals out of seven matches at the Asian Games in Hangzhou, providing a morale boost for the country’s video gaming fans who yearn for recognition of their hobby amid Beijing’s hostility towards the industry. Tens of thousands of young Chinese, some joined by their parents, flocked to Hangzhou, capital of eastern Zhejiang province, to cheer teams competing in video games, which have been labelled “spiritual opium” by Chinese state media. Youth addiction to gaming is regarded as a “social problem” in China, leading to restrictions on players under the age of 18, who can only log into gaming accounts for a maximum of three hours per week. But at the purpose-built Hangzhou Esports Centre over the weekend, the mood was different. “The matches are very exciting,” said Jin Kaijie, who travelled from the city of Zhuji in Zhejiang to watch a League of Legends competition between China and Vietnam. The title, created by US-based studio Riot Games but operated locally by Chinese gaming giant Tencent Holdings, has a huge fan base in the country. The 24-year-old Jin said he has been a fan since Tencent launched a professional tournament for the game in China in 2013. Why China esports gold at Asian Games is unlikely to see Beijing relax limits China’s national teams won gold medals for the Asian Games versions of Arena of Valor and Peacekeeper Elite , Dream Three Kingdoms 2 and Dota 2 , as well as a bronze for League of Legends . Esports turned out to be one of the most popular Asian Games events – and the most widely discussed topic on Chinese social media over the past few weeks. Esports was the only competition in Hangzhou to deploy a lottery system for tickets due to the huge demand, as Chinese fans rushed to sign up for seats to view the events. After China won the gold medal for Dota 2 – a four-hour battle with Mongolia on Monday night – it quickly overtook China’s winning of the table tennis gold medal to become the top trending topic on social media platform Weibo. “I signed up for every single competition during the holiday, and was lucky enough to secure a place for the Peacekeeper Elite match,” said Pu Guanlin, a 17-year-old student from the southwestern city of Kunming, who travelled to Hangzhou with his parents for the National Day holiday. It was also the first time that many Chinese people got to know esports, including the older generations. Pu Guanlin, a 17-year-old student from Kunming, travelled to Hangzhou with his parents to watch the Asian Games. Photo: Ann Cao On Saturday morning, Zhao Zhengjie, a Hangzhou native, took his 11-year-old son to watch the competition for Peacekeeper Elite , a localised version of PUBG Mobile , as the 40-year-old said it was “a very rare opportunity” for a Hangzhou native to support the debut of esports as an Asian Games medal event. Despite official restrictions on the industry, Hangzhou is betting on video game competitions to generate excitement and boost its economy amid slower economic growth. Last November, the Hangzhou government pledged 100 million yuan (US$14 million) in annual funding for video gaming and esports. Since last year, the Hangzhou Esports Centre has hosted professional competitions sponsored by Tencent and rival games giant NetEase, a trend that looks set to continue even after the Asian Games has ended. For the management of the purpose-built venue, the popularity of esports was beyond their expectation. Almost all the esports-related merchandise was sold out in the first few days, according to a staff member who worked in the venue’s merchandise shop. However, the nine days of competitions are not just for cheers and applause. Esports, just like any other traditional sport, have now become a point of national pride in China. Zhao Zhengjie, a Hangzhou native, took his 11-year-old son to watch the Peace Elite competition on September 30. Photo: Ann Cao When the Chinese League of Legends team, which was expected to take the gold medal again since winning a demonstration match at the 18th Asian Games in Jakarta, failed to advance to the finals after losing 0-2 to South Korea, patriotic Chinese fans took to social media to vent their disappointment. “It was such a pity that we didn’t hear our national anthem, but that of South Korea, on the eve of the Mid-Autumn Festival,” said a user with the handle of “Douyou” on Chinese online forum Douban. Sunyee Liu, a 22-year-old from the southern city of Shenzhen, said the loss would reduce her passion for professional video game competitions in the future. For some young fans, China’s restrictions on video games have become too harsh. Spectators leave the Hangzhou Esports Centre after the end of a match on September 29. Photo: Ann Cao Zhao said he allowed his son to play video games – especially Honour of Kings and Peacekeeper Elite – after school. “Times are changing and he is facing a more exciting world than when I was young,” he said, adding that time spent video gaming by kids should not “exceed a certain extent”. However Pu, the high school student, said he hoped the rules could be relaxed in future. “I will be studying every Friday night and get ready for school again on Sunday nights. That means I can only play for one hour each week [on Saturdays]. It would be better if they can relax the time frame so at least I can play for three hours a week,” said Pu. 3","China won four esports gold medals out of seven matches at the Asian Games in Hangzhou. Tens of thousands of young Chinese flocked to Hangzhou to cheer teams competing in video games. Despite official restrictions, Hangzhou is betting on video game competitions to generate excitement and boost its economy amid slower economic growth."
Korean women finally reserve first Olympic quota at Asian Games - World Archery,https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LndvcmxkYXJjaGVyeS5zcG9ydC9uZXdzLzIwMTQwNS9rb3JlYW4td29tZW4tZmluYWxseS1yZXNlcnZlLWZpcnN0LW9seW1waWMtcXVvdGEtYXNpYW4tZ2FtZXPSAQA?oc=5," href=""https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LndvcmxkYXJjaGVyeS5zcG9ydC9uZXdzLzIwMTQwNS9rb3JlYW4td29tZW4tZmluYWxseS1yZXNlcnZlLWZpcnN0LW9seW1waWMtcXVvdGEtYXNpYW4tZ2FtZXPSAQA?oc=5"" target=""_blank"">Korean women finally reserve first Olympic quota at Asian Games</a>&nbsp;&nbsp;<font color=""#6f6f6f"">World Archery</font",2023-10-03 16:10:17+00:00,World Archery,"News Korean women finally reserve first Olympic quota at Asian Games 3 October 2023 Hangzhou, China Real name : Chris Wells Archers from Korea, China and Mongolia reserved Olympic quota places during eliminations today at the Asian Games in Hangzhou – although the places won’t become official until the end of tomorrow’s mixed team event. China booked a quota in both the men’s and women’s competitions, Otgonbold Baatarkhuyag ’s surprise finals berth secured a recurve men’s spot for Mongolia and, by lining up an all-Korean recurve women’s gold medal match, Lim Sihyeon and Tokyo’s triple gold medallist An San finally added a first ticket for Paris. The Korean women’s team are undefeated at the Games having won nine straight titles since 1988. The squad’s historic failure to secure even a single quota spot at the primary qualifier, the 2023 Hyundai World Archery Championships , was perhaps the biggest shock of the event. Although no team place was available to win this week in Hangzhou – one will be given to the winner at the Asian Championships in November – the Korean women now at least have one space for Paris 2024 . “I felt regret,” said An San when asked about the disappointing outcome earlier this summer in Berlin. But after today’s competition, spirits in the Korean camp are much higher. “I’m in a very good mood. I’m starting to feel the nervousness now,” she continued. “But the competition isn’t over yet. I will give my all until the very end.” The recurve men’s title at the Asian Games will go to a non-Korean archer for the first time since 2002 – and it might be China’s Qi Xiangshuo who wins it. Ranked 23rd in the world arriving at these Asian Games, the 26-year-old secured the first major final of his relatively young career by upsetting top seed Lee Woo Seok in a semifinal tiebreak. Both shot 10s – but the home nation archer’s arrow was measured closer to the middle. Making the gold medal match also secured China an Olympic place. Xiangshuo’s focus was singular. “What we are striving for is qualification for all three of us. An individual spot doesn’t mean much,” he said. However, an Asian Games gold medal would mean a lot – and he’ll get it if he can beat one last opponent, an archer who is ranked just 293rd in the world, 270 places lower than Qi. Shock finalist Otgonbold Baatarkhuyag has already secured Mongolia’s first podium in archery’s 45-year history at the multisport event. “I’m very, very happy,” he said after a four-set semifinal win over Kazakhstan’s Ilfat Abdullin . “We’re going to the Olympics.” In another historic result, India secured its first-ever individual champion at the Asian Games after compound eliminations as the men’s final will see World Archery Champion Pravin Deotale and Abhishek Verma , the runner-up at the 2014 edition of this multisport event, contest the title. Top-seeded compound woman Jyothi Surekha Vennam can add a second gold by beating So Chaewon of Korea. Competition at the Asian Games continues with mixed team finals on Wednesday when two more quota places for the next Olympic Games will be awarded. Finals: Asian Games Recurve men: Qi Xiangshuo (China) versus Otgonbold Baatarkhuyag (Mongolia) Recurve women: Lim Sihyeon (Korea) versus An San (Korea) Compound men: Pravin Deotale (India) versus Abhishek Verma (India) Compound women: Jyothi Surekha Vennam (India) versus So Chaewon (Korea) Asian Games Archery in Paris Event coverage Day review People Otgonbold Baatarkhuyag Qi Xiangshuo Lim Sihyeon An San Competitions Hangzhou 2022 Asian Games Hangzhou 2 - 8 Oct 2023 Multisport Continental Event You may also like Latest news News Asian Games: India guarantees gold 3 October 2023 News Asian Games: Down to last eights 2 October 2023 News Asian Games: Jyothi tops qualifying 1 October 2023 Features Asian Games: Who can qualify for the Olympics? 30 September 2023 News Beginners guide to the Asian Games 29 September 2023 Features 5 multisport events featuring archery in 2022 9 May 2022","Archers from Korea, China and Mongolia reserved Olympic quota places during eliminations today at the Asian Games in Hangzhou. China booked a quota in both the men's and women's competitions. Otgonbold Baatarkhuyag’s surprise finals berth secured a recurve men's spot for Mongolia and, by lining up an all-Korean Recurve women's gold medal match, Lim Sihyeon and triple gold medallist An San finally added a first ticket for Paris. India secured its first-ever individual champion after compound eliminations."
"Lin-sanity, Gilas, China, Jordan to Men's Semis; Women's Asia Cup Final rematch for Asian Games gold - FIBA",https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5maWJhLmJhc2tldGJhbGwvbmV3cy9saW4tc2FuaXR5LWdpbGFzLWNoaW5hLWpvcmRhbi10by1tZW4tcy1zZW1pcy13b21lbi1zLWFzaWEtY3VwLWZpbmFsLXJlbWF0Y2gtZm9yLWFzaWFuLWdhbWVzLWdvbGTSAQA?oc=5," href=""https://news.google.com/rss/articles/CBMigQFodHRwczovL3d3dy5maWJhLmJhc2tldGJhbGwvbmV3cy9saW4tc2FuaXR5LWdpbGFzLWNoaW5hLWpvcmRhbi10by1tZW4tcy1zZW1pcy13b21lbi1zLWFzaWEtY3VwLWZpbmFsLXJlbWF0Y2gtZm9yLWFzaWFuLWdhbWVzLWdvbGTSAQA?oc=5"" target=""_blank"">Lin-sanity, Gilas, China, Jordan to Men's Semis; Women's Asia Cup Final rematch for Asian Games gold</a>&nbsp;&nbsp;<font color=""#6f6f6f"">FIBA</font",2023-10-03 14:30:24+00:00,FIBA,"03/10/2023 Asia to read Lin-sanity, Gilas, China, Jordan to Men's Semis; Women's Asia Cup Final rematch for Asian Games gold HANGZHOU (China) - The Final of Women's Basketball at the 19th Asian Games will be a Women's Asia Cup rematch, while the Men's Semi-Finals matchups were set after some exciting games. Key Storylines -Women's Asia Cup 2023 Finalists set to clash again for Asian Games gold -Philippines survive Iran comeback attempt -Chinese Taipei rides wave of Lin-Sanity over Japan -Jordan, China cruise to Semi-Finals Recap Women's Basketball China's seemingly unstoppable run at home in Hangzhou continues with a 100-44 win over DPR Korea, placing them in the Final of Women's Basketball at the Asian Games. It was another game with another double-double for Yueru Li (25 points, 15 rebounds) while four other players scored in double-digits for the host nation. Japan were also able to make it through to the Final with a 81-58 win over Korea. Women's Asia Cup 2021 MVP Himawari Akaho had one of her best games yet with 14 points and 11 rebounds while Saori Miyazaki added 14 points and 7 assists. The gold medal game of Women's Basketball at the Asian Games will therefore be an exciting Women's Asia Cup 2023 Final rematch. China ended up winning this previous matchup in exhilarating fashion 73-71 . #AkatsukiJapan 女子日本代表 🏆 #杭州アジア大会 ［準決勝］ 日本 81-58 韓国 25年ぶりの決勝進出決定！ 目標達成まであと1勝！ 🔥NEXT GAME［決勝］ 📅10/5(木)21:00 🆚中国 https://t.co/ScOlJP41zS #TEAMJAPAN #がんばれニッポン #HangzhouAsianGames pic.twitter.com/q1FTUjumQd — バスケットボール日本代表 (@JAPAN_JBA) October 3, 2023 Men's Basketball The Philippines and Iran have engaged in many iconic clashes, namely the FIBA Asia Cup 2013 Final, and this was another one with Gilas coming out ahead 84-83 to advance to the Semi-Finals. The victorious Gilas Pilipinas had actually led by as much as 21 points at one moment in the game, but Iran made a furious rally in the final quarter to heighten the suspense. In the end, Justin Brownlee's 36 points was enough to keep the Philippines up ahead at the buzzer with an additional 18 points from Junemar Fajardo. Iran's Sina Vahedi led his team with 24 points with 4 made three-point shots. View this post on Instagram A post shared by SBP (@samahangbasketbolngpilipinas) China led most of the way to an 84-70 win over Korea. The hosts had three players score in double-digits led by Runwang Du's 16 points with 4 made three-point shots. Jordan had a similar dominant run to a 76-57 win over Saudi Arabia. The Falcons held their opponents to single-digit scoring in both the first and third quarters to build up a lead as large as 29 points before cruising along to the end. The four-player tandem of Ahmad Al Dwairi, Sami Bzai, John Bohannon, and Rondae Hollis Jefferson all scored at least 13 points in the win. View this post on Instagram A post shared by Jordan Basketball Federation (@jbf_jo) Chinese Taipei wrapped up the results on the men's end with an 85-66 victory over Japan. Ting Chien Lin had an inspiring performance, flirting with a triple-double of 28 points, 9 rebounds, and 8 assists to help his team win. Al Bachir Gadiaga added 19 points with another 17 points from Will Artino. With the results, the Semi-Finals field is now set with the Philippines facing China and Jordan facing Chinese Taipei for a spot in the gold medal game. Upcoming Games (4 October) Men's Basketball (Men's Classification 5-8) Iran vs Korea 16:00 (GMT +8) Saudi Arabia vs Japan 20:00 (GMT +8) Men's Basketball (Semi-Finals) Jordan vs Chinese Taipei 16:00 (GMT +8) Philippines vs China 20:00 (GMT +8) FIBA","The Final of Women's Basketball at the 19th Asian Games will be a Women's Asia Cup rematch. China's seemingly unstoppable run at home in Hangzhou continues with a 100-44 win over DPR Korea. The Philippines and Iran have engaged in many iconic clashes, namely the FIBA Asia Cup 2013 Final, and this was another one with Gilas coming out ahead 84-83 to advance to the Semi-Finals."
